,0
0,0
1,0
2,0
3,2
4,2
5,8
6,4
7,0
8,8
9,2
10,29
11,2
12,8
13,0
14,4
15,8
16,2
17,2
18,0
19,0
20,0
21,0
22,0
23,0
24,2
25,2
26,4
27,0
28,4
29,2
30,0
31,10
32,0
33,2
34,4
35,0
36,4
37,2
38,2
39,0
40,0
41,0
42,0
43,0
44,0
45,6
46,4
47,4
48,2
49,4
50,2
51,2
52,31
53,2
54,2
55,4
56,2
57,4
58,4
59,6
60,0
61,0
62,0
63,0
64,2
65,4
66,0
67,4
68,4
69,6
70,6
71,2
72,2
73,12
74,2
75,2
76,6
77,6
78,4
79,4
80,0
81,4
82,2
83,0
84,0
85,4
86,2
87,2
88,2
89,0
90,2
91,10
92,2
93,4
94,33
95,4
96,2
97,10
98,2
99,0
100,2
101,2
102,2
103,4
104,0
105,2
106,2
107,4
108,8
109,2
110,4
111,6
112,6
113,10
114,12
115,14
116,12
117,10
118,6
119,6
120,4
121,2
122,8
123,4
124,2
125,2
126,4
127,2
128,8
129,2
130,6
131,6
132,6
133,6
134,2
135,10
136,35
137,10
138,2
139,6
140,6
141,6
142,6
143,2
144,8
145,2
146,4
147,6
148,6
149,6
150,2
151,2
152,4
153,2
154,4
155,2
156,6
157,16
158,6
159,2
160,4
161,2
162,4
163,2
164,2
165,6
166,6
167,6
168,8
169,8
170,4
171,4
172,4
173,2
174,4
175,2
176,2
177,2
178,37
179,2
180,2
181,2
182,4
183,2
184,4
185,4
186,4
187,8
188,8
189,8
190,10
191,4
192,2
193,4
194,4
195,2
196,2
197,2
198,2
199,30
200,2
201,2
202,2
203,2
204,4
205,4
206,2
207,4
208,10
209,8
210,12
211,4
212,10
213,4
214,4
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,4
227,4
228,10
229,4
230,12
231,8
232,10
233,4
234,2
235,4
236,4
237,2
238,2
239,2
240,2
241,30
242,2
243,2
244,2
245,2
246,4
247,4
248,2
249,4
250,10
251,8
252,8
253,8
254,4
255,4
256,4
257,2
258,4
259,2
260,2
261,2
262,37
263,2
264,2
265,2
266,4
267,2
268,4
269,4
270,4
271,8
272,8
273,6
274,6
275,6
276,2
277,2
278,4
279,2
280,4
281,2
282,6
283,16
284,6
285,2
286,4
287,2
288,4
289,2
290,2
291,6
292,6
293,6
294,4
295,2
296,8
297,2
298,6
299,6
300,6
301,6
302,2
303,10
304,35
305,10
306,2
307,6
308,6
309,6
310,6
311,2
312,8
313,2
314,4
315,2
316,2
317,4
318,8
319,2
320,4
321,6
322,6
323,10
324,12
325,14
326,12
327,10
328,6
329,6
330,4
331,2
332,8
333,4
334,2
335,2
336,0
337,4
338,2
339,2
340,2
341,0
342,2
343,10
344,2
345,4
346,33
347,4
348,2
349,10
350,2
351,0
352,2
353,2
354,2
355,4
356,0
357,0
358,2
359,4
360,0
361,4
362,4
363,6
364,6
365,2
366,2
367,12
368,2
369,2
370,6
371,6
372,4
373,4
374,0
375,4
376,2
377,0
378,0
379,0
380,0
381,6
382,4
383,4
384,2
385,4
386,2
387,2
388,31
389,2
390,2
391,4
392,2
393,4
394,4
395,6
396,0
397,0
398,0
399,0
400,0
401,0
402,2
403,2
404,4
405,0
406,4
407,2
408,0
409,10
410,0
411,2
412,4
413,0
414,4
415,2
416,2
417,0
418,0
419,0
420,0
421,0
422,0
423,2
424,2
425,8
426,4
427,0
428,8
429,2
430,29
431,2
432,8
433,0
434,4
435,8
436,2
437,2
438,0
439,0
440,0
