,0
0,0
1,2
2,0
3,4
4,0
5,2
6,4
7,2
8,2
9,4
10,29
11,4
12,2
13,2
14,4
15,2
16,0
17,4
18,0
19,2
20,0
21,0
22,0
23,0
24,2
25,0
26,0
27,2
28,2
29,2
30,4
31,10
32,4
33,2
34,2
35,2
36,0
37,0
38,2
39,0
40,0
41,0
42,0
43,0
44,0
45,2
46,0
47,2
48,4
49,0
50,2
51,4
52,31
53,4
54,2
55,0
56,4
57,2
58,0
59,2
60,0
61,0
62,0
63,0
64,2
65,0
66,2
67,0
68,4
69,0
70,2
71,0
72,2
73,12
74,2
75,0
76,2
77,0
78,4
79,0
80,2
81,0
82,2
83,0
84,2
85,0
86,2
87,0
88,4
89,6
90,2
91,8
92,2
93,2
94,33
95,2
96,2
97,8
98,2
99,6
100,4
101,0
102,2
103,0
104,2
105,2
106,8
107,2
108,6
109,6
110,6
111,8
112,12
113,6
114,8
115,14
116,8
117,6
118,12
119,8
120,6
121,6
122,6
123,2
124,8
125,2
126,6
127,8
128,4
129,10
130,6
131,2
132,4
133,8
134,8
135,6
136,35
137,6
138,8
139,8
140,4
141,2
142,6
143,10
144,4
145,8
146,6
147,8
148,4
149,6
150,2
151,2
152,2
153,4
154,2
155,2
156,6
157,16
158,6
159,2
160,2
161,4
162,2
163,2
164,2
165,6
166,4
167,8
168,4
169,6
170,6
171,2
172,4
173,4
174,2
175,4
176,2
177,4
178,37
179,4
180,2
181,4
182,2
183,4
184,4
185,2
186,6
187,6
188,4
189,4
190,6
191,6
192,2
193,4
194,2
195,2
196,2
197,2
198,2
199,30
200,2
201,2
202,2
203,2
204,2
205,4
206,2
207,6
208,6
209,4
210,8
211,4
212,0
213,4
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,4
228,0
229,4
230,8
231,4
232,6
233,6
234,2
235,4
236,2
237,2
238,2
239,2
240,2
241,30
242,2
243,2
244,2
245,2
246,2
247,4
248,2
249,6
250,6
251,4
252,4
253,6
254,6
255,2
256,4
257,4
258,2
259,4
260,2
261,4
262,37
263,4
264,2
265,4
266,2
267,4
268,4
269,2
270,6
271,6
272,4
273,8
274,4
275,6
276,2
277,2
278,2
279,4
280,2
281,2
282,6
283,16
284,6
285,2
286,2
287,4
288,2
289,2
290,2
291,6
292,4
293,8
294,6
295,8
296,4
297,10
298,6
299,2
300,4
301,8
302,8
303,6
304,35
305,6
306,8
307,8
308,4
309,2
310,6
311,10
312,4
313,8
314,6
315,2
316,8
317,2
318,6
319,6
320,6
321,8
322,12
323,6
324,8
325,14
326,8
327,6
328,12
329,8
330,6
331,6
332,6
333,2
334,8
335,2
336,2
337,0
338,2
339,0
340,4
341,6
342,2
343,8
344,2
345,2
346,33
347,2
348,2
349,8
350,2
351,6
352,4
353,0
354,2
355,0
356,2
357,0
358,2
359,0
360,2
361,0
362,4
363,0
364,2
365,0
366,2
367,12
368,2
369,0
370,2
371,0
372,4
373,0
374,2
375,0
376,2
377,0
378,0
379,0
380,0
381,2
382,0
383,2
384,4
385,0
386,2
387,4
388,31
389,4
390,2
391,0
392,4
393,2
394,0
395,2
396,0
397,0
398,0
399,0
400,0
401,0
402,2
403,0
404,0
405,2
406,2
407,2
408,4
409,10
410,4
411,2
412,2
413,2
414,0
415,0
416,2
417,0
418,0
419,0
420,0
421,2
422,0
423,4
424,0
425,2
426,4
427,2
428,2
429,4
430,29
431,4
432,2
433,2
434,4
435,2
436,0
437,4
438,0
439,2
440,0
